Date,Time,PH1,PH2,COND1,COND2,WATER_TEMP,ROOM_TEMP,FBB1,FBB2,FF1,RACK1,DO,TGP
10/29/20,00:05,7.28,0,1044,0,27.5668,25.8964,4.6,0,9.1,0,0,0
10/29/20,00:20,7.27,0,1040,0,27.5668,25.8529,4.3,0,9.3,0,0,0
10/29/20,00:35,7.28,0,1036,0,27.5668,25.879,4.6,0,8.9,0,0,0
10/29/20,00:50,7.29,0,1034,0,27.5668,25.9747,4.2,0,9.2,0,0,0
10/29/20,01:05,7.3,0,1028,0,27.5755,25.9225,4.3,0,8.8,0,0,0
10/29/20,01:20,7.3,0,1038,0,27.5842,25.8877,4.7,0,9,0,0,0
10/29/20,01:35,7.3,0,1036,0,27.5755,25.8268,4.4,0,9.1,0,0,0
10/29/20,01:50,7.3,0,1046,0,27.5842,25.879,4.8,0,9.2,0,0,0
10/29/20,02:05,7.31,0,1034,0,27.5755,25.8703,4.3,0,9.1,0,0,0
10/29/20,02:20,7.31,0,1046,0,27.5842,25.9921,4.3,0,9.1,0,0,0
10/29/20,02:35,7.31,0,1054,0,27.5755,25.9573,4.8,0,9.2,0,0,0
10/29/20,02:50,7.31,0,1038,0,27.5842,25.9573,5.1,0,9,0,0,0
10/29/20,03:05,7.31,0,1044,0,27.5842,25.9138,4.8,0,9.1,0,0,0
10/29/20,03:20,7.31,0,1034,0,27.5842,25.8355,4.3,0,9.6,0,0,0
10/29/20,03:35,7.31,0,1038,0,27.5755,25.792,4.5,0,9,0,0,0
10/29/20,03:50,7.31,0,1034,0,27.5755,25.879,4.8,0,9.3,0,0,0
10/29/20,04:05,7.31,0,1044,0,27.5842,25.9312,4.7,0,9.1,0,0,0
10/29/20,04:20,7.32,0,1034,0,27.5842,25.792,4.6,0,9.2,0,0,0
10/29/20,04:35,7.32,0,1036,0,27.5842,25.8616,5,0,9.2,0,0,0
10/29/20,04:50,7.32,0,1038,0,27.5755,25.9051,4.6,0,9.1,0,0,0
10/29/20,05:05,7.31,0,1044,0,27.5668,25.8181,4.3,0,9,0,0,0
10/29/20,05:20,7.31,0,1040,0,27.5842,25.8877,4.9,0,9,0,0,0
10/29/20,05:35,7.31,0,1038,0,27.5755,25.7659,4.7,0,9,0,0,0
10/29/20,05:50,7.31,0,1046,0,27.5755,25.8442,4.4,0,9.3,0,0,0
10/29/20,06:05,7.32,0,1048,0,27.5755,25.8877,4.9,0,9.2,0,0,0
10/29/20,06:20,7.32,0,1038,0,27.5668,25.8007,4,0,9.2,0,0,0
10/29/20,06:35,7.31,0,1038,0,27.5668,25.8181,4,0,9.3,0,0,0
10/29/20,06:50,7.31,0,1044,0,27.5755,25.8094,4.5,0,9,0,0,0
10/29/20,07:05,7.31,0,1048,0,27.5755,25.9051,4.5,0,9.3,0,0,0
10/29/20,07:20,7.3,0,1044,0,27.5755,25.9138,4.6,0,9.1,0,0,0
10/29/20,07:35,7.3,0,1054,0,27.5668,25.8964,4.3,0,9.4,0,0,0
10/29/20,07:50,7.29,0,1040,0,27.5668,25.879,4.9,0,9.2,0,0,0
10/29/20,08:05,7.28,0,1034,0,27.5755,25.8355,4.5,0,8.9,0,0,0
10/29/20,08:20,7.28,0,1036,0,27.5755,25.8703,4.9,0,9.1,0,0,0
10/29/20,08:35,7.28,0,1044,0,27.5668,25.8616,4.8,0,9.2,0,0,0
10/29/20,08:50,7.28,0,1046,0,27.5842,25.9312,4.8,0,9.4,0,0,0
10/29/20,09:05,7.28,0,1028,0,27.5929,25.9051,4.6,0,9.2,0,0,0
10/29/20,09:20,7.27,0,1044,0,27.5929,25.966,4.8,0,9.4,0,0,0
10/29/20,09:35,7.22,0,1026,0,27.4537,25.9312,4.6,0,9.3,0,0,0
10/29/20,09:50,7.23,0,1012,0,27.5059,25.8181,4.4,0,9,0,0,0
10/29/20,10:05,7.22,0,1016,0,27.6364,25.9399,4.8,0,9.4,0,0,0
10/29/20,10:20,7.26,0,1006,0,27.7495,25.8703,4.9,0,9.2,0,0,0
10/29/20,10:35,7.23,0,1026,0,27.8278,25.7659,4.6,0,9.3,0,0,0
10/29/20,10:50,7.26,0,1020,0,27.8626,25.9573,4.5,0,9.5,0,0,0
10/29/20,11:05,7.25,0,1020,0,27.8365,25.8877,4.7,0,9.3,0,0,0
10/29/20,11:20,7.26,0,1016,0,27.8452,25.9051,5.3,0,9.1,0,0,0
10/29/20,11:35,7.27,0,1026,0,27.8191,25.966,4.8,0,9.3,0,0,0
10/29/20,11:50,7.26,0,1022,0,27.8104,25.8703,4.5,0,9.4,0,0,0
10/29/20,12:05,7.26,0,1026,0,27.8104,25.9747,4.8,0,9.2,0,0,0
10/29/20,12:20,7.26,0,1022,0,27.793,25.9573,4.4,0,9.1,0,0,0
10/29/20,12:35,7.27,0,1030,0,27.7843,25.8442,4.8,0,9.2,0,0,0
10/29/20,12:50,7.27,0,1030,0,27.7843,25.9051,5,0,9.3,0,0,0
10/29/20,13:05,7.29,0,1034,0,27.7843,25.9747,4.7,0,9.3,0,0,0
10/29/20,13:20,7.28,0,1034,0,27.7756,25.8703,4.4,0,9.3,0,0,0
10/29/20,13:35,7.27,0,1038,0,27.7669,26.0269,4.7,0,9.4,0,0,0
10/29/20,13:50,7.26,0,1028,0,27.7582,25.966,4.1,0,9.1,0,0,0
10/29/20,14:05,7.24,0,1034,0,27.7669,25.8529,4.5,0,9.5,0,0,0
10/29/20,14:20,7.24,0,1028,0,27.7495,25.7572,4.6,0,9.3,0,0,0
10/29/20,14:35,7.25,0,1036,0,27.7408,25.9486,4.8,0,9.2,0,0,0
10/29/20,14:50,7.25,0,1030,0,27.7321,25.9921,4.9,0,9.5,0,0,0
10/29/20,15:05,7.27,0,1034,0,27.7234,25.9312,4.4,0,9.2,0,0,0
10/29/20,15:20,7.27,0,1034,0,27.7234,25.9399,4.5,0,9.4,0,0,0
10/29/20,15:35,7.26,0,1036,0,27.7234,25.9486,4.5,0,9.2,0,0,0
10/29/20,15:50,7.22,0,1034,0,27.7234,26.0704,4.6,0,9.5,0,0,0
10/29/20,16:05,7.21,0,1034,0,27.7234,26.0965,4.2,0,9.2,0,0,0
10/29/20,16:20,7.24,0,1050,0,27.7147,25.9921,4.5,0,9.2,0,0,0
10/29/20,16:35,7.27,0,1038,0,27.7147,26.0791,4.7,0,9.6,0,0,0
10/29/20,16:50,7.25,0,1040,0,27.7147,25.9399,4.5,0,9.6,0,0,0
10/29/20,17:05,7.25,0,1040,0,27.706,26.0356,4.6,0,9.4,0,0,0
10/29/20,17:20,7.24,0,1054,0,27.7234,25.9225,4.5,0,9.6,0,0,0
10/29/20,17:35,7.23,0,1046,0,27.706,26.0182,4.4,0,9.6,0,0,0
10/29/20,17:50,7.25,0,1038,0,27.7147,26.0617,4.6,0,9.6,0,0,0
10/29/20,18:05,7.25,0,1044,0,27.7234,25.8529,4.7,0,9.4,0,0,0
10/29/20,18:20,7.25,0,1050,0,27.7147,26.0095,4.6,0,9.3,0,0,0
10/29/20,18:35,7.25,0,1040,0,27.7234,26.0965,4.7,0,9.4,0,0,0
10/29/20,18:50,7.25,0,1046,0,27.706,26.0008,4.6,0,9.7,0,0,0
10/29/20,19:05,7.24,0,1036,0,27.706,26.0878,4.7,0,9.5,0,0,0
10/29/20,19:20,7.23,0,1046,0,27.7147,25.8964,4.6,0,9.6,0,0,0
10/29/20,19:35,7.24,0,1036,0,27.7147,26.0704,4.5,0,9.7,0,0,0
10/29/20,19:50,7.23,0,1046,0,27.706,25.8442,4.9,0,9.4,0,0,0
10/29/20,20:05,7.23,0,1046,0,27.706,26.0182,4.7,0,9.5,0,0,0
10/29/20,20:20,7.24,0,1044,0,27.7147,26.053,4.8,0,9.6,0,0,0
